title,year,duration,genre,rating,url,user_agent
,,,,,http://web.archive.org/web/20220414175320/https://www.imdb.com/title/tt1345836/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
,,,,,http://web.archive.org/web/20211014110217/https://www.imdb.com/title/tt4154756/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
,,,,,http://web.archive.org/web/20211008191510/https://www.imdb.com/title/tt4154796/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
,,,,,http://web.archive.org/web/20220416031514/https://www.imdb.com/title/tt4633694/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
,,,,,http://web.archive.org/web/20220604162638/https://www.imdb.com/title/tt5074352/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
Capernaum ,2018,126 min,Drama,8.4,http://web.archive.org/web/20210517153542/https://www.imdb.com/title/tt8267604/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
,,,,,http://web.archive.org/web/20220607044722/https://www.imdb.com/title/tt5311514/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
,,,,,http://web.archive.org/web/20220522223551/https://www.imdb.com/title/tt2380307/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
,,,,,http://web.archive.org/web/20220505224410/https://www.imdb.com/title/tt7286456/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
,,,,,http://web.archive.org/web/20211016112814/https://www.imdb.com/title/tt8503618/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
,,,,,http://web.archive.org/web/20221101183300/https://www.imdb.com/title/tt0021749/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
It's a Wonderful Life ,1946,130 min,Drama,8.6,http://web.archive.org/web/20200714055953/https://www.imdb.com/title/tt0038650/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
,,,,,http://web.archive.org/web/20221101183300/https://www.imdb.com/title/tt0027977/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
Seven Samurai ,1954,207 min,Action,8.6,http://web.archive.org/web/20200716171253/https://www.imdb.com/title/tt0047478/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
Saving Private Ryan ,1998,169 min,Drama,8.6,http://web.archive.org/web/20200714052455/https://www.imdb.com/title/tt0120815/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
Star Wars: Episode IV - A New Hope ,1977,121 min,Action,8.6,http://web.archive.org/web/20200716171627/https://www.imdb.com/title/tt0076759/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
Se7en ,1995,127 min,Crime,8.6,http://web.archive.org/web/20200714045927/https://www.imdb.com/title/tt0114369/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
The Green Mile ,1999,189 min,Crime,8.6,http://web.archive.org/web/20200714044804/https://www.imdb.com/title/tt0120689/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
Spirited Away ,2001,125 min,Animation,8.6,http://web.archive.org/web/20200714045337/https://www.imdb.com/title/tt0245429/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
Interstellar ,2014,169 min,Adventure,8.6,http://web.archive.org/web/20200714070245/https://www.imdb.com/title/tt0816692/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
Anand ,1971,122 min,Drama,8.6,http://web.archive.org/web/20200714090047/https://www.imdb.com/title/tt0066763/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
One Flew Over the Cuckoo's Nest ,1975,133 min,Drama,8.7,http://web.archive.org/web/20200714035649/https://www.imdb.com/title/tt0073486/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
City of God ,2002,130 min,Crime,8.6,http://web.archive.org/web/20200714035551/https://www.imdb.com/title/tt0317248/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
Parasite ,2019,132 min,Comedy,8.6,http://web.archive.org/web/20200714020315/https://www.imdb.com/title/tt6751668/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
The Silence of the Lambs ,1991,118 min,Crime,8.6,http://web.archive.org/web/20200715044236/https://www.imdb.com/title/tt0102926/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
La vita è bella ,1997,116 min,Comedy,8.6,http://web.archive.org/web/20200715094956/https://www.imdb.com/title/tt0118799/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
Star Wars: Episode V - The Empire Strikes Back ,1980,124 min,Action,8.7,http://web.archive.org/web/20200714105828/https://www.imdb.com/title/tt0080684/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
Harakiri ,1962,133 min,Action,8.7,http://web.archive.org/web/20200716172056/https://www.imdb.com/title/tt0056058/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
